iter	RMSE
0	242.8002429
1	237.2437233
2	232.1045076
3	228.1051194
4	224.6167107
5	221.2774987
6	218.4684339
7	215.7236931
8	213.098689
9	210.2891531
10	208.4195495
11	206.5727524
12	204.7165594
13	203.1388501
14	201.4746788
15	200.1307504
16	198.852528
17	197.6459278
18	196.5823036
19	195.5158264
20	194.5879931
21	193.1877798
22	192.5344703
23	191.2804618
24	190.5537178
25	189.4796112
26	188.9140349
27	188.3380325
28	187.859511
29	187.4277568
30	186.4912718
31	186.056686
32	185.6841112
33	185.3253116
34	185.0423123
35	184.687265
36	184.3090802
37	184.0160392
38	183.7755517
39	183.4989233
40	183.2164691
41	182.9333721
42	182.6281812
43	182.3882698
44	182.1279194
45	181.282417
46	181.0516012
47	180.4875013
48	180.0329923
49	179.6109343
50	179.4405126
51	179.2589221
52	179.0827275
53	178.847897
54	178.1514152
55	178.0347912
56	177.8465404
57	177.2898118
58	177.1788763
59	177.0403645
60	176.8670157
61	176.6654901
62	175.9342754
63	175.7321535
64	175.5863412
65	175.3618603
66	175.2944353
67	175.1876027
68	175.1231467
69	175.0186026
70	174.8874624
71	174.7696517
72	174.701454
73	174.5597107
74	174.4464187
75	174.3588484
76	173.718573
77	173.5574475
78	173.4550396
79	172.9377352
80	172.7846848
81	172.6644197
82	172.5392608
83	171.93645
84	171.4446097
85	170.9175304
86	170.8238292
87	170.6842316
88	169.949466
89	169.8778229
90	169.3316592
91	169.2371875
92	169.1237978
93	168.9741879
94	168.8281566
95	168.679946
96	168.5792576
97	168.1089728
98	168.0324655
99	167.5995651
100	167.5031398
101	167.3800339
102	167.2389302
103	166.6978979
104	166.6320732
105	166.4884049
106	166.3441839
107	165.9941486
108	165.9210678
109	165.8870067
110	165.8154672
111	165.3292953
112	165.2254219
113	164.8191272
114	164.760143
115	164.6720557
116	164.6143014
117	164.5226023
118	164.2043991
119	163.7300376
120	163.2590122
121	162.7998961
122	162.7036205
123	162.635606
124	161.5994077
125	161.316631
126	160.7577303
127	160.6833213
128	160.6360385
129	160.5619908
130	160.5174487
131	160.0701303
132	159.9792295
133	159.8929169
134	159.6051999
135	159.3609281
136	159.2850424
137	158.9659973
138	158.9112771
139	158.4938922
140	158.4293125
141	158.344407
142	158.2256188
143	157.8143911
144	157.7343561
145	157.6825739
146	157.3651785
147	157.2472387
148	157.1906357
149	157.1065022
150	156.704437
151	156.4698641
152	156.1606556
153	156.0738865
154	156.0094638
155	155.6214415
156	155.3118325
157	154.9681657
158	154.6574733
159	154.5565429
160	154.5196632
161	154.4921865
162	154.3853057
163	154.2708282
164	154.1856657
165	154.1229478
166	154.0656996
167	153.7308871
168	153.6652311
169	153.5995228
170	153.5346187
171	153.512058
172	153.4466027
173	153.4092895
174	153.2973048
175	152.9715371
176	152.8199762
177	152.789082
178	152.4766833
179	152.4055641
180	152.2981358
181	152.2810068
182	152.2435898
183	151.9232123
184	151.9098731
185	151.6174034
186	151.5156158
187	151.4575435
188	151.315971
189	151.0356017
190	150.93753
191	150.877834
192	150.8550461
193	150.7848782
194	150.6949331
195	150.6474546
196	150.5810405
197	150.5637475
198	150.5025729
199	150.1973628
200	150.0933799
201	150.0733349
202	149.8226802
203	149.632549
204	149.4030177
205	149.1169851
206	149.0359253
207	148.7646077
208	148.6706869
209	148.643803
210	148.3809682
211	148.366532
212	148.3526193
213	148.295568
214	148.1918124
215	148.0522522
216	147.9560937
217	147.9036257
218	147.8449263
219	147.6316134
220	147.379494
221	147.3301388
222	147.2548751
223	147.2044279
224	146.9985275
225	146.9135699
226	146.8266341
227	146.8146695
228	146.7809912
229	146.5892753
230	146.342248
231	146.2677348
232	146.1812837
233	146.137388
234	146.076671
235	146.0662526
236	146.0562839
237	145.6893088
238	145.5121375
239	145.4644495
240	145.2381392
241	145.166069
242	145.1499763
243	145.1042754
244	145.0689534
245	144.8498413
246	144.7626928
247	144.6881364
248	144.6022851
249	144.5286711
250	144.388099
251	144.346094
252	144.3213374
253	144.237812
254	144.1728415
255	144.1235344
256	144.0462244
257	144.0076572
258	143.8477435
259	143.7785631
260	143.7116933
261	143.6362907
262	143.5545243
263	143.4921649
264	143.4518587
265	143.3982351
266	143.3852269
267	143.2228076
268	143.180036
269	143.0142436
270	142.9724194
271	142.7672024
272	142.6604271
273	141.9240634
274	141.897797
275	141.6944187
276	141.6488809
277	141.599303
278	141.5014871
279	141.3084048
280	140.5819652
281	140.5161289
282	140.4400485
283	140.4021193
284	140.3956704
285	140.3387982
286	140.3023599
287	140.2781815
288	139.5807392
289	139.3921653
290	139.3340889
291	139.29616
292	138.6099193
293	138.581407
294	138.4807417
295	138.4252831
296	138.2743383
297	138.2454102
298	138.134763
299	137.4767505
300	137.4251452
301	137.3513011
302	137.3456255
303	137.2784325
304	136.6346839
305	136.5602916
306	136.5276767
307	136.3995956
308	136.2641484
309	136.1422248
310	136.1147097
311	135.9285584
312	135.8554835
313	135.8030471
314	135.2948879
315	135.2211913
316	135.1894812
317	135.1201436
318	134.936471
319	134.8929895
320	134.8674895
321	134.6917725
322	134.0744982
323	134.044409
324	134.0339207
325	133.9650101
326	133.9446853
327	133.9161345
328	133.8616263
329	133.7855855
330	133.7540546
331	133.7151983
332	133.5467104
333	133.3818656
334	133.3440218
335	133.2944493
336	133.2707207
337	133.1932372
338	133.1488847
339	133.0887587
340	133.0614251
341	132.5882811
342	132.5360879
343	132.5038921
344	131.9224989
345	131.8472643
346	131.7886864
347	131.7241509
348	131.6783286
349	131.6350487
350	131.606969
351	131.0345805
352	130.9822086
353	130.9444575
354	130.3899247
355	130.3482602
356	130.3201677
357	130.1429145
358	130.0964436
359	130.0392682
360	129.9303126
361	129.8847719
362	129.8460235
363	129.3157692
364	129.2525081
365	129.0903254
366	129.0635378
367	129.038181
368	129.012885
369	128.9951217
370	128.9286294
371	128.8156117
372	128.777576
373	128.7395531
374	128.5763942
375	128.4219402
376	128.3984254
377	128.3605897
378	127.839584
379	127.8145459
380	127.7576728
381	127.7243232
382	127.3150845
383	127.2583927
384	127.179406
385	127.1625668
386	127.0757679
387	127.0234099
388	126.9595309
389	126.8096009
390	126.6611152
391	126.5777397
392	126.5438093
393	126.5082709
394	126.48417
395	126.4237164
396	125.9339102
397	125.8277169
398	125.787422
399	125.7297311
400	125.5888211
401	125.5550693
402	125.5340725
403	125.4927886
404	125.4474475
405	125.3111467
406	125.2832104
407	125.1862021
408	125.1640508
409	125.1270778
410	125.0202957
411	124.961044
412	124.9300708
413	124.8780686
414	124.828352
415	124.7315175
416	124.7105382
417	124.6629661
418	124.5952567
419	124.5626873
420	124.5400086
421	124.4853056
422	124.3966493
423	124.3702403
424	124.3416569
425	123.8596571
426	123.791418
427	123.6600021
428	123.621875
429	123.5706168
