iter	Passed	Remaining
677	4097	1945
678	4101	1939
679	4106	1932
680	4110	1925
681	4117	1919
682	4121	1913
683	4126	1906
684	4131	1899
685	4135	1893
686	4140	1886
687	4146	1880
688	4151	1873
689	4155	1866
690	4160	1860
691	4166	1854
692	4171	1847
693	4178	1842
694	4183	1835
695	4188	1829
696	4195	1823
697	4201	1817
698	4207	1811
699	4214	1806
700	4219	1799
701	4224	1793
702	4230	1787
703	4236	1781
704	4242	1775
705	4248	1769
706	4254	1762
707	4260	1757
708	4265	1750
709	4271	1744
710	4279	1739
711	4285	1733
712	4293	1728
713	4299	1722
714	4304	1715
715	4312	1710
716	4317	1704
717	4325	1698
718	4330	1692
719	4335	1685
720	4344	1680
721	4351	1675
722	4360	1670
723	4365	1664
724	4372	1658
725	4378	1652
726	4382	1645
727	4404	1645
728	4410	1639
729	4415	1633
730	4423	1627
731	4431	1622
732	4438	1616
733	4443	1610
734	4448	1603
735	4455	1598
736	4460	1591
737	4465	1585
738	4473	1579
739	4480	1574
740	4486	1568
741	4492	1562
742	4497	1555
743	4503	1549
744	4508	1543
745	4514	1537
746	4519	1530
747	4524	1524
748	4529	1517
749	4537	1512
750	4542	1506
751	4547	1499
752	4553	1493
753	4559	1487
754	4566	1481
755	4574	1476
756	4580	1470
757	4585	1463
758	4590	1457
759	4594	1450
760	4601	1445
761	4607	1439
762	4615	1433
763	4621	1427
764	4629	1422
765	4635	1416
766	4643	1410
767	4653	1405
768	4675	1404
769	4691	1401
770	4700	1396
771	4707	1390
772	4716	1384
773	4723	1379
774	4732	1374
775	4742	1369
776	4749	1363
777	4756	1357
778	4769	1353
779	4779	1348
780	4786	1342
781	4795	1336
782	4801	1330
783	4808	1324
784	4814	1318
785	4819	1312
786	4826	1306
787	4831	1299
788	4837	1293
789	4844	1287
790	4850	1281
791	4858	1275
792	4864	1269
793	4870	1263
794	4877	1257
795	4883	1251
796	4890	1245
797	4896	1239
798	4902	1233
799	4909	1227
800	4915	1221
801	4921	1215
802	4928	1209
803	4934	1202
804	4941	1196
805	4946	1190
806	4954	1184
807	4961	1178
808	4970	1173
809	4976	1167
810	4982	1161
811	4991	1155
812	5004	1151
813	5012	1145
814	5020	1139
815	5028	1133
816	5038	1128
817	5049	1123
818	5061	1118
819	5070	1113
820	5076	1106
821	5084	1101
822	5091	1094
823	5099	1089
824	5105	1083
825	5112	1077
826	5119	1070
827	5126	1064
828	5139	1060
829	5153	1055
830	5161	1049
831	5170	1044
832	5178	1038
833	5187	1032
834	5193	1026
835	5204	1021
836	5212	1015
837	5220	1009
838	5229	1003
839	5236	997
840	5242	991
841	5249	985
842	5255	978
843	5264	973
844	5269	966
845	5275	960
846	5281	954
847	5287	947
848	5296	942
849	5302	935
850	5311	929
851	5317	923
852	5325	917
853	5332	911
854	5337	905
855	5345	899
856	5351	892
857	5359	886
858	5364	880
859	5372	874
860	5378	868
861	5383	861
862	5391	855
863	5397	849
864	5402	843
865	5408	836
866	5415	830
867	5423	824
868	5429	818
869	5435	812
870	5442	806
871	5449	799
872	5457	793
873	5464	787
874	5472	781
875	5479	775
876	5487	769
877	5493	763
878	5499	757
879	5508	751
880	5514	744
881	5521	738
882	5528	732
883	5537	726
884	5544	720
885	5550	714
886	5558	708
887	5565	701
888	5573	695
889	5580	689
890	5587	683
891	5593	677
892	5600	671
893	5607	664
894	5612	658
895	5620	652
896	5627	646
897	5635	640
898	5643	634
899	5659	628
900	5677	623
901	5690	618
902	5701	612
903	5716	607
904	5731	601
905	5747	596
906	5760	590
907	5771	584
908	5802	580
909	5818	575
910	5827	569
911	5838	563
912	5848	557
913	5856	551
914	5866	544
915	5874	538
916	5883	532
917	5889	526
918	5897	519
919	5904	513
920	5911	507
921	5917	500
922	5922	494
923	5929	487
924	5935	481
925	5942	474
926	5947	468
927	5952	461
928	5958	455
929	5964	448
930	5969	442
931	5977	436
932	5982	429
933	5987	423
934	5993	416
935	5998	410
936	6003	403
937	6009	397
938	6017	390
939	6026	384
940	6032	378
941	6037	371
942	6043	365
943	6048	358
944	6054	352
945	6059	345
946	6065	339
947	6072	333
948	6078	326
949	6084	320
950	6091	313
951	6096	307
952	6102	300
953	6108	294
954	6114	288
955	6122	281
956	6128	275
957	6134	268
958	6140	262
959	6145	256
960	6151	249
961	6156	243
962	6161	236
963	6168	230
964	6173	223
965	6178	217
966	6186	211
967	6193	204
968	6201	198
969	6207	191
970	6213	185
971	6220	179
972	6225	172
973	6232	166
974	6238	159
975	6245	153
976	6253	147
977	6259	140
978	6266	134
979	6272	128
980	6278	121
981	6286	115
982	6292	108
983	6299	102
984	6305	96
985	6309	89
986	6318	83
987	6324	76
988	6331	70
989	6337	64
990	6345	57
991	6351	51
992	6356	44
993	6363	38
994	6369	32
995	6375	25
996	6383	19
997	6388	12
998	6397	6
999	6403	0
